This file was created by CMPT_IND_RETS using the 201112 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
194110  -6.20  -6.30  -7.25  -2.48  -6.19
194111  -3.58  -3.40  -2.92   0.04  -3.79
194112  -9.11  -6.84  -6.64  -3.98 -11.12
194201  10.24   8.33   6.53   2.96  35.30
194202  -0.94  -1.07  -2.08  -5.39  -2.65
194203  -4.50  -4.68  -0.47  -4.48  -8.96
194204  -4.87  -5.42  -4.48  -3.16  -2.25
194205   4.12   1.69   6.88   7.62   1.91
194206   2.63   2.31   3.13   4.64   2.16
194207   4.79   3.41   4.95   2.45   7.16
194208   2.12   2.49   1.88   3.02   5.44
194209   3.06   4.44   5.44   2.02   9.03
194210   8.00  10.75  11.86   4.80  11.95
194211   0.53  -2.80   1.56   1.69  -3.98
194212   2.56   4.06   8.19   9.48   1.85
194301  15.65  15.33   9.15   6.07  26.50
194302   9.79  11.24   7.37   6.05  27.07
194303  12.17  10.12  10.14  11.93  11.93
194304   5.08   1.32   3.55   5.01   5.93
194305   8.30   7.71   8.84   3.56  10.54
194306   3.69   0.54   2.98   2.42  -2.50
194307  -4.97  -7.26  -7.70  -2.75  -7.46
194308   1.20   0.04   0.47  -1.00  -0.49
194309   4.10   3.08   4.84   3.85   3.14
194310   0.18  -0.26  -0.30  -0.06  -1.54
194311  -7.45  -9.24  -8.62  -5.67 -11.45
194312  10.26   9.52  11.07   5.95   9.64
194401   4.30   4.12   5.09   2.51   6.15
194402   1.79   1.07  -0.60  -2.29   2.82
194403   4.88   3.33   4.04   5.86   4.56
194404  -2.52  -3.03  -2.52  -1.86  -3.91
194405   8.10   6.15   6.89   5.44   4.90
194406  10.88   9.61   9.64   5.61  12.53
194407  -0.73  -1.33  -1.86  -2.61  -1.76
194408   4.46   2.88   1.78   0.07   1.70
194409   0.24   0.08   0.25   1.54  -0.83
194410   0.56  -0.24   0.14  -0.60  -0.07
194411   2.57   1.99   1.00   1.48   3.24
194412   4.43   6.67   5.79   5.32  13.11
194501   4.69   5.02   2.99   1.75   3.18
194502   7.24   9.11   5.89   6.28  10.48
194503  -4.83  -6.34  -6.06  -3.34  -5.42
194504   8.85   8.78   8.61   9.73   9.39
194505   4.45   1.62   1.05   3.96   3.94
194506   2.44   3.34   0.05  -3.29   8.60
194507  -2.26  -3.48  -3.69  -2.09  -5.69
194508   7.85   7.04   7.92   9.96   2.53
194509   5.84   6.69   4.48   6.96   6.71
194510   7.66   5.73   2.85   7.62   7.74
194511  10.28   8.46   7.09   9.49  12.10
194512   3.40   2.02   2.80   2.81   1.47
194601   8.78   9.49   6.29   9.56  11.60
194602  -6.35  -6.28  -7.79  -4.32  -7.37
194603   6.88   6.40   2.67  15.60   2.81
194604   6.84   5.13   2.08  13.60   3.41
194605   5.50   6.10   5.73   5.93   3.95
194606  -5.73  -4.36  -6.03  -6.93  -4.31
194607  -3.21  -4.22  -5.24  -3.90  -5.45
194608  -7.75  -6.88  -8.63  -4.91  -8.53
194609 -13.27 -12.90 -13.16  -7.74 -16.08
194610  -1.01  -1.56  -2.70  -2.37  -0.45
194611  -1.76   0.87  -1.61   1.18  -0.55
194612   4.17   6.43   7.01   7.23   0.75
194701   3.09   2.51   5.16  -2.73   4.03
194702  -0.14  -0.59  -2.79  -4.21  -0.32
194703  -3.42  -2.20  -3.34  -1.26  -4.43
194704  -9.29  -7.12  -7.83  -8.46  -9.10
194705  -3.65  -3.89  -2.92  -5.38  -4.22
194706   6.67   5.58   6.30   3.07   4.73
194707   6.06   6.21   6.89   3.97   6.78
194708  -1.67  -0.91  -2.48  -4.93  -3.47
194709   0.34   1.20   1.79  -3.97  -0.55
194710   3.84   3.98   3.06   3.60   0.88
194711  -3.16  -2.97  -2.62  -2.87  -2.90
194712   0.17   3.19   0.91   0.87   4.74
194801  -2.43  -2.34  -2.40  -5.61   2.42
194802  -6.51  -5.75  -5.95  -4.78  -5.66
194803   7.16  10.81  11.95   6.51  10.87
194804   3.24   4.11   2.57   1.52   4.85
194805   9.29   8.37  11.55   7.24   8.43
194806  -2.20  -1.09  -0.27  -1.03  -1.42
194807  -4.64  -5.57  -6.63  -4.64  -5.46
194808  -0.06  -0.34  -0.20  -1.91   0.04
194809  -4.17  -3.99  -4.37  -3.42  -5.24
194810   4.09   5.95   5.40   5.13   6.03
194811  -9.74 -11.23 -10.33  -7.32 -11.58
194812  -0.74   2.07   5.57   2.68   1.54
194901   3.23   1.06  -1.34   4.85   2.02
194902  -4.14  -3.72  -6.85  -2.45  -4.21
194903   5.81   5.94   5.11   6.21   6.47
194904  -2.92  -3.67  -5.61   0.26  -1.75
194905  -2.78  -4.76  -6.11  -2.68  -5.52
194906   0.76  -1.38  -2.59   1.04  -1.66
194907   6.07   6.48   7.14   5.39   5.72
194908   2.41   3.03   1.54   0.81   1.96
194909   4.10   4.17   6.51   3.50   4.54
194910   3.62   3.84   4.66   3.45   4.72
194911   1.16   1.21   0.63   2.58  -0.24
194912   7.09   6.12  10.04   8.13   8.53
195001   4.19   3.04   8.47   2.16   4.98
195002   0.54   2.14   3.80   3.93   1.52
195003  -0.37  -0.29   3.68  -2.92  -0.55
195004   3.89   5.12  10.32   5.63   3.94
195005   3.15   4.55  -0.46   1.45   1.78
195006  -6.85  -7.58  -9.47  -6.37  -8.19
195007   4.09   5.39  -0.89  -3.18   8.69
195008   5.01   5.45   6.98   4.05   3.25
195009   5.48   5.07   6.96   5.85   6.01
195010  -0.92   0.06  -3.19   0.55  -0.25
195011   0.58   4.44   1.27   3.28   5.52
195012   6.91   8.14   4.79   6.30  13.95
195101   7.56   7.82   8.93   4.05   6.91
195102   1.47   1.05   3.14   2.16   0.49
195103  -3.72  -3.21  -3.17  -0.04  -3.68
195104   1.91   5.83   4.49   8.90   2.44
195105  -2.01  -2.32  -3.21  -0.23  -3.88
195106  -4.87  -4.21  -4.09  -1.45  -5.40
195107   3.00   8.17   5.28  10.80   6.86
195108   4.16   5.18   6.24  -0.63   4.56
195109   1.36   2.35   2.56   0.02   4.09
195110  -2.69  -1.69  -4.06  -3.58  -3.22
195111   0.26   0.43   2.86  -1.33   2.04
195112   0.47   2.21   2.58   3.19   1.00
195201   0.40   2.55   0.92   2.52   2.10
195202  -1.64  -2.51  -1.48  -3.56  -1.69
195203   2.04   2.96   3.00   0.21   4.47
195204  -3.45  -5.45  -3.04  -4.83  -3.91
195205   2.26   2.59   1.02   1.06   2.63
195206   2.26   3.26   3.80   0.95   4.14
195207   0.64   1.46   1.86  -2.22   0.74
195208   0.63  -0.37   0.57  -0.01  -0.07
195209  -1.49  -1.99   1.76  -2.25  -1.20
195210  -1.35  -1.08  -0.43  -1.48  -1.16
195211   4.74   5.81   6.52   5.39   6.19
195212   1.69   2.27   2.61  -0.26   3.60
195301   3.00   2.04   2.31  -2.37   3.11
195302   1.94   0.94   1.20   2.07   0.60
195303  -1.07  -0.88  -2.24  -0.02  -1.47
195304  -1.58  -2.81  -1.58  -2.47  -2.70
195305   0.49   0.50  -0.11   0.65   1.46
195306  -3.52  -3.15  -2.38  -3.13  -3.04
195307   1.52   1.91   1.72   2.58   1.62
195308  -4.26  -5.04  -6.00  -1.86  -7.07
195309  -1.72  -0.66   2.23  -0.38  -2.45
195310   2.30   4.84   3.80   2.70   3.26
195311   0.86   2.72   1.37   6.31   2.75
195312  -2.16  -0.95  -0.90   0.05  -2.26
195401   6.66   7.40   6.81   5.92   7.46
195402   0.46   1.70   2.09   1.34   1.73
195403   1.21   3.90   3.68   0.15   2.86
195404  -0.65   2.67   3.33   2.18   2.24
195405   4.05   4.25   2.67   2.33   5.43
195406   1.30   1.01   3.38  -0.31   1.35
195407   7.60   6.74   7.92   7.08   7.67
195408  -0.86  -1.12  -2.62  -1.74   0.22
195409   3.83   4.53   5.88   5.43   4.28
195410  -1.22  -1.00   0.02   0.28   0.88
195411   6.48   9.73  11.81  12.04  10.55
195412   7.41   8.43   8.89   8.00  12.77
195501   1.73   1.09   2.10  -2.24   1.94
195502   3.04   4.83   5.96   3.80   4.41
195503  -0.62   0.02   0.60   4.59   0.92
195504   2.64   1.76   3.00   4.12   3.23
195505   0.29   0.47   0.99   1.05   2.09
195506   2.52   4.81   2.48   1.47   2.19
195507   2.17   0.68  -1.67   1.02  -0.94
195508  -0.66   1.51  -0.81  -0.25   0.47
195509  -0.01  -0.77  -2.87  -1.15  -1.59
195510  -1.36  -1.56  -3.35   0.94  -2.44
195511   2.75   6.79   6.05   6.97   6.44
195512   1.58   2.67   3.27   7.30   1.27
195601  -1.18  -2.17  -2.67  -4.49  -2.84
195602   1.83   4.08   3.88   4.05   3.68
195603   2.44   6.65   6.96   7.09   4.52
195604  -0.48   0.66   0.46   1.28   1.23
195605  -3.61  -3.83  -5.59  -3.51  -4.66
195606   1.15   2.93   2.64   2.26   1.29
195607   1.83   5.62   3.78   4.34   2.75
195608  -0.74  -1.97  -1.86  -3.27  -3.01
195609  -2.81  -4.12  -3.97  -3.02  -3.23
195610   1.17   0.85  -0.50   0.66   0.06
195611  -0.02   1.48  -0.55  -0.92  -0.62
195612  -0.02   3.30   4.01   6.22   2.43
195701   2.36  -1.08   0.50  -1.17   0.85
195702  -1.64  -2.37  -2.54   0.14  -3.31
195703   1.73   2.06   3.94   6.87   2.50
195704   2.12   2.42   4.73   4.60   2.87
195705   1.34   2.44   3.86   4.50   1.78
195706  -0.03  -1.66   1.01   4.11  -0.44
195707   0.60   0.33   0.10   2.11   1.17
195708  -3.18  -5.48  -6.96  -2.37  -5.70
195709  -3.21  -6.21  -5.86  -1.54  -6.60
195710  -5.75  -6.06  -8.43  -1.60  -8.80
195711   1.40   2.77   5.13   7.41  -0.63
195712  -3.51  -5.33  -6.61  -0.60  -5.48
195801  10.70  10.11  10.83   2.36  13.15
195802   0.02  -1.85  -2.35   4.28  -1.07
195803   3.58   3.64   4.93  10.34   2.08
195804   3.93   2.26   2.08   8.46   4.01
195805   3.66   4.01   5.54   2.43   3.61
195806   3.02   2.80   4.08   2.72   4.61
195807   3.92   6.49   3.96   4.17   5.55
195808   5.04   1.86   4.84   3.29   2.31
195809   5.85   4.42   5.18  11.10   6.03
195810   2.85   2.95   6.22   1.31   3.85
195811   4.54   3.05  10.33   8.59   4.44
195812   3.57   4.20   5.07   4.95   2.81
195901   5.26   4.10   2.66  -0.09   4.05
195902   3.66   1.85   8.84   4.86   1.47
195903   1.43   0.96   3.08   4.51   0.08
195904   2.29   2.00   9.39  11.06   1.24
195905   0.63   0.99   0.45  -2.46   0.92
195906   0.71   0.32   1.12   6.27  -0.26
195907   3.98   3.34   2.14   3.79   0.85
195908  -0.20  -1.61  -3.97   0.02  -2.05
195909  -2.98  -5.23  -5.88  -6.10  -4.07
195910   1.97   1.59   7.00   5.48   1.22
195911   0.91   1.86   5.07   4.80  -0.48
195912   2.60   1.96   3.99  -0.91   1.98
196001  -3.06  -4.14  -7.73  -4.71  -2.60
196002   1.05   0.29   5.46   1.20  -0.01
196003  -3.01  -2.12  -2.33   0.15  -2.70
196004  -0.89  -2.53  -2.32   1.17  -2.42
196005   1.55   1.56  11.17  11.25   0.06
196006   3.31   1.74   1.41   3.33   1.93
196007  -1.26  -1.63  -5.74  -4.15  -1.68
196008   3.85   3.48   5.66   1.92   4.11
196009  -4.96  -5.97 -10.16  -8.55  -5.73
196010  -1.41  -2.11  -6.44  -4.32  -2.12
196011   4.96   4.14   6.32   4.21   5.36
196012   2.85   4.65   3.62   6.04   2.64
196101   7.93   8.44   4.76   8.13   9.51
196102   6.57   5.81   7.65   6.55   5.56
196103   6.40   3.96   6.31   6.50   4.61
196104   0.67   0.64   2.25  -2.72   1.34
196105   4.04   4.50   3.24   1.57   4.99
196106  -3.19  -4.30  -5.71  -3.27  -4.47
196107   0.98   1.55   0.85   1.81   0.33
196108   2.89   1.61  -0.41   4.30   3.33
196109  -1.55  -3.11  -5.96  -2.45  -3.24
196110   3.30   1.79  -0.24   4.03   2.18
196111   6.39   3.65   6.15   2.81   4.70
196112  -0.68   0.15  -0.15  -2.59  -1.57
196201  -1.51  -0.44  -2.63  -3.71   1.00
196202   1.06   1.94   0.26   2.00   1.64
196203  -0.44  -0.33  -1.52   0.10  -1.66
196204  -7.07  -6.10  -9.34 -10.11  -6.73
196205  -9.42  -9.38 -12.92 -12.37  -9.51
196206  -8.26  -7.91 -11.12 -12.15  -8.74
196207   6.22   5.80   9.46   5.77   7.20
196208   2.71   2.47   4.60  -3.78   4.13
196209  -6.41  -5.21  -9.53  -5.56  -6.29
196210  -3.11  -1.56  -4.04   0.73  -2.09
196211  11.68  13.13  16.85  19.63  17.33
196212  -0.58  -0.88  -2.66  -0.25  -0.66
196301   8.19   7.73   7.78   7.00   8.25
196302  -1.70  -1.07  -3.98  -2.11  -0.43
196303   1.55   2.62  -0.26   1.27   2.80
196304   3.74   3.52   3.87   7.47   4.46
196305   2.42   3.18   3.72  -0.16   5.32
196306  -1.57  -1.58  -1.82  -1.79  -1.59
196307  -0.37  -0.42  -2.37   0.60  -1.06
196308   3.69   4.55   3.58   7.28   4.39
196309  -1.26  -1.07  -0.10  -1.33  -1.46
196310   1.84   0.42   4.49   3.80   0.96
196311  -2.44  -0.72  -2.55  -1.55  -1.93
196312  -1.31   0.14  -3.20  -0.45   0.65
196401   3.27   3.69   2.32   3.66   2.96
196402   2.05   2.31   1.24   0.97   5.16
196403   1.70   3.53   2.29  -1.40   3.45
196404   1.06   0.07  -1.64  -1.47  -0.19
196405   0.17   1.32  -0.93   0.00   1.02
196406   1.94   1.13   0.56  -0.27  -0.41
196407   2.88   3.48   1.56   4.83   2.41
196408  -0.36  -0.16  -1.71  -2.43  -1.34
196409   3.60   3.17   4.40   5.24   5.44
196410   2.14   1.73   1.13   2.29   2.58
196411   0.74  -0.15  -1.52   2.05  -0.74
196412  -1.57  -1.43  -0.60   3.48  -1.64
196501   7.99   6.92   9.70   7.71   6.08
196502   3.55   3.04   3.43   2.05   3.91
196503   1.73   1.31   1.80   0.68   1.03
196504   4.22   4.32   5.63   2.98   2.77
196505   0.51  -1.03   0.19  -1.48  -1.64
196506  -8.40  -7.91 -10.40  -6.35  -8.03
196507   2.02   2.99   4.86   4.36   3.06
196508   3.68   3.44   8.68   6.66   4.35
196509   2.20   2.86   5.49   3.21   1.87
196510   5.34   5.89   8.43   4.25   5.84
196511   3.31   4.08  13.08   4.46   5.11
196512   3.61   4.07   3.39   4.91   6.42
196601   6.48   5.99   6.01   4.41   7.58
196602   3.00   2.33   6.32  -0.27   3.38
196603  -1.45  -0.81  -1.77  -1.56   0.50
196604   3.37   4.58  10.36   4.70   4.30
196605  -8.45  -7.97 -13.01  -7.02  -9.26
196606  -0.88  -0.82   2.03   1.95  -0.90
196607  -1.81  -1.31  -2.17  -1.44  -1.77
196608 -10.11  -9.59  -8.86  -9.49 -11.84
196609  -2.00  -1.20  -3.69  -1.83  -2.27
196610  -2.48   0.88  -7.03   2.16  -2.52
196611   1.35   2.88  12.16   7.52   7.27
196612  -0.14   2.51   4.78   1.94   0.68
196701  17.28  15.63  22.73  10.14  20.06
196702   5.55   3.25   5.33   2.86   4.60
196703   4.29   6.28   7.71   8.58   6.64
196704   5.02   3.78   6.28   5.28   2.43
196705  -0.55  -0.84  -2.65  -4.43   0.56
196706   8.18   7.69  13.50   6.25   7.83
196707   9.04   7.65   4.94   5.17  11.36
196708   2.09   0.10  -2.43   2.24   1.34
196709   8.34   4.80   8.99   6.41   4.92
196710  -0.75  -3.21  -2.07  -5.89  -1.33
196711  -0.17   0.22  -0.04   1.50   0.20
196712   7.89   7.94   9.74   1.75   9.23
196801   4.08   1.10  -3.47  -5.26   6.11
196802  -4.76  -5.64  -8.74  -5.40  -4.61
196803   0.09  -1.65  -1.12  -0.16  -1.29
196804  16.07  12.37  16.82  11.00  14.50
196805  11.49   7.32   9.16   5.75  11.16
196806   1.53   2.16  -1.79   1.01   2.39
196807  -2.87  -2.49  -6.80  -3.75  -0.92
196808   4.39   3.13   2.39   2.11   4.29
196809   7.95   5.46   6.48   1.59   9.65
196810   2.18   0.55  -2.42  -0.47   0.82
196811   6.48   7.26   7.87   8.47   8.05
196812   0.48   0.68  -0.64  -0.64   0.65
196901  -0.94   0.00  -2.37  -0.49   0.88
196902  -8.56  -8.24 -10.22  -6.11  -8.93
196903   1.73   2.29   0.87   3.64   1.98
196904   0.36  -0.59   1.27   3.92   2.07
196905   0.57   0.75  -0.35   2.46  -0.53
196906 -11.32 -10.59 -12.37  -8.09 -12.95
196907 -10.16  -8.48 -11.88  -4.04 -10.42
196908   5.29   3.84   6.29  10.44   7.13
196909  -2.29  -3.32  -2.31   1.84  -1.32
196910   9.65   7.89  16.54  11.13   7.91
196911  -5.74  -5.43  -4.81  -1.41  -6.99
196912  -7.57  -5.49  -7.25   0.61  -8.95
197001  -3.69  -3.17  -5.81  -4.11  -5.10
197002   2.37   4.41   3.78   4.13   6.92
197003  -2.09  -1.23  -6.28  -4.91  -2.62
197004 -15.77 -14.30 -20.74 -17.07 -18.19
197005  -9.78  -7.98 -10.30 -10.36  -9.37
197006  -7.19  -7.07 -10.46  -5.75  -8.29
197007   6.62   6.56   0.85   4.16   6.01
197008   5.68   5.97   7.60   4.87   7.21
197009  13.50  10.22  20.51  12.19  13.51
197010  -4.89  -5.13 -12.32  -4.42  -6.62
197011   0.06   1.24  -2.91  -0.25   0.22
197012  11.10   7.65   4.98   9.09   6.92
197101  14.31  11.58  17.95   8.44  16.14
197102   7.37   3.16   4.70   6.85   3.98
197103   6.09   3.93   9.44   4.64   6.08
197104   1.99   2.49   3.27   4.08   3.72
197105  -4.91  -4.94  -5.84  -0.49  -5.79
197106  -1.84  -1.57  -3.21  -0.50  -1.66
197107  -5.91  -4.48  -8.94  -6.10  -5.85
197108   3.97   3.80   5.05   4.70   5.15
197109   0.70  -1.50  -2.82   1.45  -0.06
197110  -5.63  -5.42  -7.68  -4.85  -6.34
197111  -3.60  -3.12  -2.50  -2.89  -4.02
197112  12.63  10.85  15.55  12.11  11.28
197201  10.17   8.87  17.74   6.67  11.64
197202   4.81   3.76   5.96   7.85   2.59
197203  -0.35  -0.19   0.15   0.44   0.27
197204  -0.08   0.45   0.23  -0.61  -0.13
197205  -2.48  -1.57  -1.41   0.27  -2.40
197206  -4.37  -2.50  -3.34  -1.18  -3.93
197207  -4.63  -1.54  -2.59  -1.96  -4.16
197208  -0.81   3.03   0.70   3.80   0.78
197209  -3.84  -2.34  -3.90  -3.67  -3.39
197210  -1.74  -0.61  -1.99  -4.44  -2.07
197211   6.05   5.83   2.92  -0.40   4.36
197212  -2.71  -1.28  -2.62  -0.09  -2.99
197301  -5.75  -2.07  -3.85  -8.10  -4.65
197302  -8.45  -6.28  -9.21  -7.34  -7.14
197303  -4.34  -1.56  -3.51  -3.02  -2.10
197304  -8.70  -4.88  -8.46 -10.00  -8.54
197305  -9.38  -6.72  -9.78  -8.81  -8.89
197306  -4.88  -2.44  -2.74  -4.27  -2.85
197307  11.94   9.53  16.18  14.82   9.89
197308  -5.43  -3.24  -6.06  -6.17  -4.38
197309   6.36   8.89  11.24   8.59   5.90
197310  -1.90   1.90   1.13   0.91  -1.31
197311 -20.17 -15.80 -21.58 -15.68 -16.31
197312  -5.98  -1.94  -4.73  -5.21  -4.14
197401  14.84  12.33  14.82   9.29  12.66
197402   1.37   0.80  -1.18  -0.66   0.80
197403   1.95   1.09   0.45  -0.63   0.40
197404  -5.02  -4.68  -5.98  -5.56  -5.86
197405  -6.21  -6.47  -7.00  -6.39  -7.86
197406  -3.01  -1.53  -4.32  -2.92  -3.84
197407  -5.44  -3.52  -7.65  -7.36  -5.78
197408  -7.82  -7.14  -8.58  -7.90  -9.00
197409  -8.47  -7.07 -11.03 -11.78  -7.06
197410   7.01  11.62   6.23  19.96   8.44
197411  -6.18  -3.53  -5.75  -1.61  -5.11
197412  -8.45  -6.22 -10.05  -8.27  -7.73
197501  31.27  25.35  34.73  27.65  29.04
197502   4.97   4.79   8.34  11.84   5.82
197503  11.70   5.61  11.57   5.19   7.27
197504   3.42   4.64   6.73   3.80   1.65
197505   6.93   7.34  10.84   8.65   7.03
197506   8.09   8.17   8.68   5.43   5.98
197507   0.81  -1.58  -2.48  -2.81  -0.76
197508  -4.60  -3.84  -6.21  -7.64  -5.04
197509  -2.59  -3.23  -4.45  -5.04  -4.43
197510   3.96   1.23   0.41   1.81   0.66
197511   3.98   1.62   1.60   2.82   0.80
197512  -0.65  -0.77  -2.18  -0.80   0.44
197601  20.32  18.31  24.85  17.18  16.70
197602  14.15   8.79  14.18   7.54  10.97
197603   1.73   1.64   3.09   1.87   2.74
197604  -1.20   0.06  -1.18  -3.41  -0.19
197605  -4.02   0.27  -3.34  -1.83  -1.84
197606   1.18   3.78   5.94   2.64   2.75
197607  -0.63   0.82  -1.25   0.80   0.79
197608  -2.25  -1.09  -2.64  -1.52  -1.23
197609   0.36   2.70   1.35   2.06   1.45
197610  -2.77  -1.85  -3.87  -1.10  -1.45
197611   2.69   2.44   3.05   1.06   2.64
197612   9.49   9.20  12.49   9.24  10.35
197701   2.17   4.51   5.37   3.71   3.62
197702  -0.26   0.02   0.50  -0.50   0.88
197703   0.00   0.83   1.90   0.65   1.68
197704   0.79   2.39   1.36  -1.12   2.36
197705   0.00   0.03   0.34   0.04   0.92
197706   4.49   5.59   6.21   7.14   5.44
197707   1.16  -0.16   1.15   0.86   2.29
197708  -0.16  -1.25   0.42  -0.43   0.07
197709   1.87   0.46   0.91   4.78   1.70
197710  -1.84  -3.01  -2.54  -0.35  -2.16
197711   6.74   6.91   9.17   8.17   7.08
197712   1.52   1.71   3.40   3.92   2.40
197801  -1.15  -2.23  -2.11  -1.42  -0.31
197802   3.21   2.08   2.51   1.86   2.56
197803   6.95   5.32   9.52   8.91   6.87
197804   7.71   7.31  11.55  10.94   7.82
197805   7.36   5.80  11.63   8.29   6.19
197806   0.43   0.37   0.50   0.73   1.87
197807   3.18   5.43   7.06   8.94   5.61
197808   9.91   6.85  16.84   9.74   9.04
197809   0.94  -0.13   0.73  -0.25   0.61
197810 -19.03 -17.23 -23.83 -22.79 -16.42
197811   4.11   4.88   8.06   7.87   2.69
197812  -0.03   1.14   4.04   3.32   1.72
197901   9.33   9.63  11.87   8.97   8.38
197902  -2.70  -1.46  -3.35  -4.45  -1.13
197903   6.65   9.36  11.08   7.30   7.56
197904   2.27   2.63   2.95   1.10   3.19
197905  -1.39  -0.73  -1.31  -1.31  -0.03
197906   2.61   7.33   5.23   4.46   6.02
197907   1.40   2.66   1.78   2.89   2.68
197908   7.19   8.01   9.50   7.62   6.78
197909  -0.83   0.15  -0.34   1.32  -0.26
197910  -9.57  -9.26  -9.21  -9.27 -10.18
197911   3.85   7.69  10.99   9.77   6.00
197912   4.52   7.63   9.78   7.15   6.25
198001   7.34  11.43  13.71   8.25   9.70
198002  -1.36  -0.97  -0.71  -3.28  -0.69
198003 -15.13 -16.34 -18.89 -13.64 -15.98
198004   3.52   5.51   5.72   6.22   5.85
198005   7.92   5.95   6.98  10.93   7.64
198006   3.72   4.26   3.17   1.94   5.14
198007   8.27   8.06  16.52  13.17   8.55
198008   6.18   5.65  12.79   8.70   5.67
198009   3.71   5.48   6.43   6.60   4.65
198010   1.88   4.37   7.24   6.41   4.76
198011   2.38   9.43  10.38   7.72   6.21
198012  -3.02  -3.93  -3.82  -2.17  -2.51
198101   3.15  -0.91  -2.51   2.90   1.15
198102   1.64   0.12  -2.12  -1.81   1.36
198103   7.78   6.33   8.31  11.85   7.29
198104   4.79   0.01   5.94   7.14   3.03
198105   2.70   2.21   7.60   3.72   1.76
198106   1.66  -1.25  -5.23  -2.14   0.21
198107  -2.21  -0.12  -5.34  -4.23  -2.14
198108  -6.54  -7.10 -11.97 -10.93  -6.45
198109  -6.43 -10.52  -9.69  -7.75  -8.63
198110   6.04   6.36  10.45   9.31   7.02
198111   1.22   1.75   2.29   1.37   2.40
198112  -0.98  -2.66  -1.78  -1.63  -2.22
198201  -0.44  -2.75  -1.01  -0.76  -2.11
198202  -2.25  -6.42  -5.73  -3.09  -4.18
198203   0.98  -2.42  -1.17  -0.15  -1.23
198204   6.17   3.11   8.32   9.89   5.44
198205  -1.56  -2.44  -3.50  -3.64  -2.43
198206  -0.62  -4.74  -4.81  -3.07  -3.25
198207   0.76  -3.95  -1.29   0.47  -1.45
198208   4.65   6.76   6.06   6.13   6.99
198209   5.04  -0.24   4.89   5.50   4.20
198210  12.96   9.99  18.06  15.50  13.55
198211  10.70   4.23  14.38  14.87  10.60
198212   2.16   1.69   3.84   4.06   1.84
198301   8.42  10.88  16.13  12.43  10.50
198302   8.12   2.46   8.53   8.44   5.01
198303   7.57   3.15   2.70   6.07   6.49
198304   8.95   6.66   6.73   8.62   9.13
198305   7.76  10.03  11.82   8.13   8.51
198306   6.78   3.78   6.05   5.70   3.98
198307  -1.32  -0.15  -6.03  -6.93  -1.39
198308  -4.15  -2.05  -5.35  -4.25  -3.30
198309   1.45   0.32  -1.38  -2.67   0.52
198310  -4.50  -4.59 -10.74 -10.68  -4.71
198311   3.91   1.90   4.88   0.48   2.67
198312  -2.12  -1.50  -4.02  -5.86  -1.55
198401  -1.08   2.18  -2.14  -1.77   0.81
198402  -5.51  -4.67  -9.33  -5.67  -4.65
198403   1.15   1.66  -0.51   0.23   0.31
198404  -1.81  -1.03  -2.70  -1.04  -2.71
198405  -3.89  -4.14  -6.27  -7.71  -5.39
198406   2.87   0.35   2.71   2.57   0.94
198407  -3.51  -4.91  -7.47  -5.18  -3.80
198408   8.67   8.65  11.47  12.79   7.22
198409   0.13   0.20  -3.16  -2.79   1.60
198410  -2.11  -3.10  -4.06  -2.03  -0.63
198411  -2.81  -2.77  -5.42  -5.03  -2.52
198412   0.69   0.35   0.53  -0.01   1.05
198501  11.10   9.39  17.78  17.55  12.09
198502   4.34   4.02   6.02   7.66   4.39
198503  -1.07  -0.81  -3.74  -2.09   0.65
198504  -1.55  -1.37  -4.12  -0.02   0.30
198505   3.00   1.58   1.04   3.30   3.16
198506   1.07  -0.95  -2.02   2.06   2.22
198507   1.01   1.75   2.85   0.91   2.29
198508  -0.48  -0.86  -1.70  -1.55   0.94
198509  -4.50  -5.24  -8.25  -7.13  -5.30
198510   1.79   1.39   0.84   2.41   2.79
198511   5.83   4.67   5.50   5.55   5.84
198512   3.86   1.03   3.60   3.92   3.57
198601   3.89   2.07   4.09   4.94   6.39
198602   7.62   3.62   5.65   3.81   8.30
198603   6.30   3.86   3.32  10.02   4.68
198604   2.06  -0.02   2.70   0.79   1.72
198605   5.02   3.52   3.11   4.57   3.47
198606   2.56   0.74  -2.19   2.42   1.46
198607  -8.17  -7.02  -9.71  -8.67  -6.33
198608   0.32   3.82   0.97   0.21   2.14
198609  -6.76  -4.66  -7.73  -9.25  -6.10
198610   3.55   1.89   3.12   3.57   1.79
198611   0.23  -0.95   0.17  -1.47  -1.83
198612  -4.18  -2.92  -4.30  -5.25  -3.43
198701   8.97  13.71  14.18  12.15  10.90
198702   7.22   6.32  10.12  14.78   5.81
198703   2.55   5.61   1.32   3.10   2.80
198704  -2.76  -1.08  -0.71  -2.51  -2.71
198705  -0.61   2.46   0.56  -1.22  -0.83
198706   3.61   3.33   0.68   2.01   2.21
198707   3.42   6.50   1.90  -0.30   2.47
198708   2.17   0.61   1.81  -0.13   2.17
198709  -2.12   8.97  -0.91  -2.13  -1.84
198710 -29.42 -26.19 -31.00 -32.72 -24.85
198711  -6.75  -4.39  -7.55  -6.36  -4.16
198712   3.12   2.91   6.35   1.41   1.45
198801   7.20   7.83   7.11  12.49   8.28
